Year,Trt,TrtO,Season,Drainage,Nitrate load,Flow-weighted nitrate-N concentration
2012,CP-SPPOLY-150-C,CPPPOLY-150,Annual,1.958620416,2.999337115,15.3135191
2012,CP-SPPOLY-150-S,CPPPOLY-150,Annual,1.448702208,2.300314862,15.8784521
2013,CP-SPUREA-150-S,CPPUREA-150,Annual,29.56797338,62.65575811,21.19041346
2013,CP-SPUREA-150-C,CPPUREA-150,Annual,16.32986726,24.91672024,15.25837279
2013,CP-SPUREA-150-C,CPPUREA-150,Annual,21.4351047,33.55398482,15.65375364
2013,CP-SPUREA-150-S,CPPUREA-150,Annual,8.014435584,15.68106915,19.56603056
2013,CP-SPUREA-150-S,CPPUREA-150,Annual,20.24944896,50.50626118,24.94204226
2013,CP-SPUREA-150-S,CPPUREA-150,Annual,7.281940224,18.40553612,25.27559353
2013,CP-SPUREA-150-C,CPPUREA-150,Annual,20.28144077,45.90657024,22.6347678
2013,CP-SPUREA-150-C,CPPUREA-150,Annual,24.01004698,59.41542235,24.74606668
2013,CP-SP-150-C,CPP-150,Annual,24.81082566,37.34327006,15.05120006
2013,CP-SP-150-S,CPP-150,Annual,23.8318487,49.742145,20.87213024
2013,CP-SP-150-C,CPP-150,Annual,26.62391424,43.9643584,16.51310848
2013,CP-SP-150-S,CPP-150,Annual,24.85909786,64.057738,25.76832771
2013,CP-SP-150-C,CPP-150,Annual,29.44592333,74.90479078,25.43808525
2013,CP-SP-150-C,CPP-150,Annual,25.45045862,71.75694392,28.19475475
2013,CP-SP-150-S,CPP-150,Annual,25.41359002,59.87373861,23.55973264
2013,CP-SP-150-S,CPP-150,Annual,18.45790771,32.33011028,17.51558778
2013,CP-SPPOLY-150-S,CPPPOLY-150,Annual,7.405615872,15.16539594,20.47823733
2013,CP-SPPOLY-150-S,CPPPOLY-150,Annual,24.28597632,28.75039013,11.83826821
2013,CP-SPPOLY-150-C,CPPPOLY-150,Annual,22.2820992,32.86607944,14.74999242
2013,CP-SPPOLY-150-C,CPPPOLY-150,Annual,18.49429677,35.85387822,19.38645122
2013,CP-SPPOLY-150-C,CPPPOLY-150,Annual,11.51149133,23.70516412,20.59260911
2013,CP-SPPOLY-150-S,CPPPOLY-150,Annual,20.21472614,41.37985114,20.47015173
2013,CP-SPPOLY-150-S,CPPPOLY-150,Annual,23.14938931,34.45785867,14.88499684
2013,CP-SPPOLY-150-C,CPPPOLY-150,Annual,20.28875597,43.29745529,21.34061613
2014,CP-SPUREA-150-C,CPPUREA-150,Annual,29.49576422,66.75193055,22.63102256
2014,CP-SPUREA-150-S,CPPUREA-150,Annual,30.6203814,39.64107048,12.94597542
2014,CP-SPUREA-150-S,CPPUREA-150,Annual,25.19759654,45.99414729,18.25338667
2014,CP-SPUREA-150-C,CPPUREA-150,Annual,9.826849536,25.18206453,25.62577603
2014,CP-SPUREA-150-C,CPPUREA-150,Annual,32.65037107,85.8954986,26.30766383
2014,CP-SPUREA-150-C,CPPUREA-150,Annual,18.5708544,49.36959209,26.58444842
2014,CP-SPUREA-150-S,CPPUREA-150,Annual,18.35047181,33.77192399,18.40384506
2014,CP-SPUREA-150-S,CPPUREA-150,Annual,22.86976986,50.47862974,22.07220713
2014,CP-SP-150-S,CPP-150,Annual,23.00154099,35.57212359,15.46510454
2014,CP-SP-150-C,CPP-150,Annual,30.40275149,46.84091334,15.40680072
2014,CP-SP-150-S,CPP-150,Annual,22.41876339,35.56805747,15.86530749
2014,CP-SP-150-C,CPP-150,Annual,31.04834227,68.07204146,21.92453332
2014,CP-SP-150-S,CPP-150,Annual,22.64132429,44.12634108,19.48929335
2014,CP-SP-150-S,CPP-150,Annual,24.29212109,51.00497751,20.99651048
2014,CP-SP-150-C,CPP-150,Annual,23.74884557,46.59832238,19.62130001
